,smiles,ROMol,n_Atoms,energy(Ha),time cost(s)
0,C=C,<rdkit.Chem.rdchem.Mol object at 0x1479190aafa0>,2,-78.03876941254534,3.476957321166992
1,C=O,<rdkit.Chem.rdchem.Mol object at 0x1479191112e0>,2,-113.86953646696564,1.2458670139312744
2,C#N,<rdkit.Chem.rdchem.Mol object at 0x147919111100>,2,-92.87694247778018,1.1338913440704346
3,CCO,<rdkit.Chem.rdchem.Mol object at 0x1479191110a0>,3,-154.08991870721275,4.493186950683594
4,CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x147919111460>,5,-266.8589851577272,19.40618658065796
5,CN=C=O,<rdkit.Chem.rdchem.Mol object at 0x1479190ede20>,4,-206.79559264403252,6.541658401489258
6,C1=CCC=CC1,<rdkit.Chem.rdchem.Mol object at 0x1479190eddc0>,6,-231.84676156678347,18.61537265777588
7,C1=CC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x1479190edd60>,6,-230.71352354226508,6.401654005050659
8,C1=C(C)C=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x1479190edf40>,7,-269.75355216648376,14.841611385345459
9,C1CCC2CCCCC2C1,<rdkit.Chem.rdchem.Mol object at 0x1479190edca0>,10,-389.2048422472965,61.62598776817322
